cohort	cohort_role	genetic_background	region	estimand	cell_type	gene	effect_scale	effect	se	ci_low	ci_high	p_value	adjusted_p	adjusted_p_scope	n_donors	source_file	direction	significant_adjusted_0_05	meta_eligible	meta_exclusion_reason
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	OPC	HSP90AA1	log2FC	1.30344609054707	1.02527036611734	-0.706083827042913	3.31297600813705	0.217086421135594	0.807046270124138	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	OPC	HSP90AA1	log2FC	0.510455372209585	0.440097657930092	-0.352136037333396	1.37304678175257	0.250507801674844	0.986977063947027	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	OPC	HSP90AB1	log2FC	1.78102240156779	0.809608061592753	0.194190600845994	3.36785420228959	0.0385155152826165	0.529147703020159	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	OPC	HSP90AB1	log2FC	0.415625905853065	0.391141940511479	-0.351012297549434	1.18226410925556	0.291990058513423	0.986977063947027	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	OPC	MAP1B	log2FC	0.416225053984892	0.547769079976539	-0.657402342769124	1.48985245073891	0.455368100950227	0.915136581284996	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	OPC	MAP1B	log2FC	0.234742798249669	0.242451792220575	-0.240462714502658	0.709948311001996	0.336360706171599	0.986977063947027	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	OPC	MAPT	log2FC	0.149123261434487	0.202346514303342	-0.247475906600063	0.545722429469037	0.468031363352135	0.918467765413625	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	OPC	MAPT	log2FC	-0.179505857351211	0.203739961436886	-0.578836181767509	0.219824467065087	0.38134945685902	0.986977063947027	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	OPC	PARK7	log2FC	0.600253530206895	1.02520295230726	-1.40914425631533	2.60965131672912	0.563752740022307	0.943266605209026	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	OPC	PARK7	log2FC	0.287340933973699	0.369518821481212	-0.436915956129476	1.01159782407687	0.439553158597561	0.986977063947027	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	OPC	STARD13	log2FC	0.00601872743252718	0.175367492265214	-0.337701557407292	0.349739012272346	0.972880075289387	0.997478713511678	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	OPC	STARD13	log2FC	-0.430158488367077	0.292199554354817	-1.00286961490252	0.142552638168364	0.145660923292514	0.986977063947027	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	ARHGAP35	log2FC	0.0821310895096703	0.115295790191025	-0.143848659264739	0.308110838284079	0.483363123655189	0.923128071569657	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	ARHGAP35	log2FC	-0.134140550973166	0.206503421237976	-0.538887256599599	0.270606154653267	0.518209907267646	0.970387790854141	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	ARHGAP39	log2FC	0.973877687534975	0.285047003151895	0.415185561357261	1.53256981371269	0.00234835039099386	0.246189440331991	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	ARHGAP39	log2FC	0.162943634369681	0.404369932451953	-0.629621433236147	0.955508701975509	0.688277761190218	0.988592593100892	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	BAG3	log2FC	2.35072199436018	1.55017191226534	-0.687614953679891	5.38905894240025	0.143216903806593	0.73949354105589	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	BAG3	log2FC	0.281578136896337	0.747339058595	-1.18320641794986	1.74636269174254	0.70754578814017	0.990085464605502	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	BCR	log2FC	0.282480799786907	0.223262041534936	-0.155112801621568	0.720074401195382	0.218367149211997	0.807870749122672	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	BCR	log2FC	-0.12735660811617	0.270349475226863	-0.657241579560821	0.402528363328481	0.639130562116565	0.985468012978478	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	CCT5	log2FC	-0.183500419360465	0.443141414615782	-1.0520575920074	0.685056753286468	0.682695392823303	0.964543271440211	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	CCT5	log2FC	0.396866477249048	0.343223964938271	-0.275852494029963	1.06958544852806	0.251716328814447	0.924340994780789	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	CCT8	log2FC	-0.524652589826074	0.597787598774075	-1.69631628342326	0.647011103771113	0.389325986089641	0.893560872586296	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	CCT8	log2FC	0.540895838036267	0.29387623899231	-0.0351015903886616	1.1168932664612	0.0701667593474498	0.838374545149731	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	CHORDC1	log2FC	0.665413141815479	0.394830386316656	-0.108454415365166	1.43928069899612	0.105630058103891	0.690024186586004	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	CHORDC1	log2FC	0.234715583262884	0.489316470419389	-0.724344698759118	1.19377586528489	0.633034829932942	0.985468012978478	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	COA3	log2FC	-0.363095824192205	1.00955574628075	-2.34182508690247	1.61563343851806	0.722427013457618	0.970245601089826	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	COA3	log2FC	0.529950719358008	0.389954117322047	-0.234359350593204	1.29426078930922	0.178754019588289	0.908166055932009	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	COX5B	log2FC	0.943780255542529	1.45919134290153	-1.91623477654447	3.80379528762953	0.524259997667586	0.933693414526211	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	COX5B	log2FC	0.427463838950636	0.540494311328706	-0.631905011253627	1.4868326891549	0.431839453512881	0.960747476296538	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	COX7C	log2FC	0.396162520727896	1.50057479468416	-2.54496407685306	3.33728911830886	0.794156769694705	0.97977567766659	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	COX7C	log2FC	0.723341158329456	0.579799630263888	-0.413066116987764	1.85974843364668	0.21658135343246	0.913285325957524	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	DOCK7	log2FC	0.319694523710685	0.209904689387871	-0.0917186674895422	0.731107714910912	0.141286794120359	0.737014320194435	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	DOCK7	log2FC	-0.145890490207144	0.272527849157137	-0.680045074555133	0.388264094140845	0.594219322691497	0.98248287362097	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	HSP90AA1	log2FC	0.717386468262063	0.840930447725222	-0.930837209279372	2.3656101458035	0.402524760238074	0.898608562043186	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	HSP90AA1	log2FC	0.163316381554091	0.338050268567282	-0.499262144837782	0.825894907945964	0.630608901190534	0.985468012978478	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	HSP90AB1	log2FC	0.997272400025125	0.883292234652393	-0.733980379893566	2.72852517994382	0.270673482301172	0.840502489653999	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	HSP90AB1	log2FC	0.752465752383166	0.407114124033067	-0.0454779307216452	1.55040943548798	0.0690250881807741	0.838374545149731	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	MAP1B	log2FC	0.615678141393648	0.845503186723597	-1.0415081045846	2.2728643873719	0.473950105424681	0.920338799000579	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	MAP1B	log2FC	0.0431548426429078	0.210492753366226	-0.369410953954894	0.45572063924071	0.838186692937573	0.994266381409201	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	MAPT	log2FC	0.17719546363044	0.159517109368205	-0.135458070731242	0.489848997992122	0.278044572541871	0.844454584527991	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	MAPT	log2FC	-0.268378178345682	0.211485346089668	-0.682889456681431	0.146133099990067	0.208877133430049	0.913285325957524	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	PARK7	log2FC	0.787365184650969	1.04875203296336	-1.26818879995721	2.84291916925915	0.460508228058854	0.916544834156825	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	PARK7	log2FC	0.428388142379778	0.394182814481079	-0.344210174003136	1.20098645876269	0.281075513111724	0.927198228006439	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_Control	Oligodendrocyte	STARD13	log2FC	-0.273568242861048	0.14860826529516	-0.564840442839562	0.0177039571174664	0.0784892752969221	0.639758620641636	global gene tests within model collection	17	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_Control	Oligodendrocyte	STARD13	log2FC	-0.316951427514233	0.219702672585496	-0.747568665781805	0.113665810753339	0.153835141996191	0.904124746931197	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_FTD	Astrocyte	ARHGAP35	log2FC	-0.404547089276039	0.244750941024715	-0.884258933684481	0.0751647551324025	0.112640179607932	0.698772155359435	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_FTD	Astrocyte	ARHGAP35	log2FC	-0.476347594781653	0.260996374497446	-0.987900488796647	0.0352052992333409	0.0724441228070163	0.580444687010113	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_FTD	Astrocyte	ARHGAP39	log2FC	0.235657057503763	0.337434698358785	-0.425714951279455	0.897029066286981	0.492425513126126	0.925610614266036	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_FTD	Astrocyte	ARHGAP39	log2FC	0.0774465210729431	0.443528932134819	-0.791870185911301	0.946763228057188	0.861914660212678	0.976729171073792	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_FTD	Astrocyte	BAG3	log2FC	-0.300212922135628	0.513782105511806	-1.30722584893877	0.706800004667511	0.565119997804446	0.94348356573455	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_FTD	Astrocyte	BAG3	log2FC	-0.595084492036376	0.554653693422217	-1.68220573114392	0.492036747071169	0.287285968546035	0.774727637399867	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_FTD	Astrocyte	BCR	log2FC	0.416460075801505	0.210724652616729	0.00343975667271679	0.829480394930293	0.0608672741163587	0.598805152924406	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_FTD	Astrocyte	BCR	log2FC	0.249739004814604	0.316894301415668	-0.371373825960106	0.870851835589314	0.433428980780528	0.850073231785552	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_FTD	Astrocyte	CCT5	log2FC	-0.482568583953184	1.11338346320109	-2.66480017182731	1.69966300392095	0.669046976124006	0.962301237409131	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_FTD	Astrocyte	CCT5	log2FC	0.0451850789302513	0.465300231560404	-0.866803374928141	0.957173532788643	0.922929479414667	0.987117972042149	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_FTD	Astrocyte	CCT8	log2FC	-0.567080929111092	0.670832229005037	-1.88191209796097	0.747750239738781	0.407281609921555	0.90022041834071	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_FTD	Astrocyte	CCT8	log2FC	0.331056510944157	0.423793430462571	-0.499578612762482	1.1616916346508	0.437452961256426	0.850883094329428	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_FTD	Astrocyte	CHORDC1	log2FC	-0.900452071304958	0.48754657454418	-1.85604335741155	0.0551392148016338	0.0786474332338005	0.640131657232367	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_FTD	Astrocyte	CHORDC1	log2FC	-0.381793507582831	0.527787013078324	-1.41625605321635	0.652669038050685	0.472006627506697	0.865475431923926	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_FTD	Astrocyte	COA3	log2FC	-3.92297561480223	1.12752969309859	-6.13293381327547	-1.71301741632899	0.0021735457796634	0.241903406583883	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_FTD	Astrocyte	COA3	log2FC	-0.0587543700318705	0.491541789774037	-1.02217627798898	0.904667537925242	0.905212729623349	0.985407334262688	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_FTD	Astrocyte	COX5B	log2FC	-2.6469019295448	1.403213078665	-5.39719956372821	0.103395704638605	0.0729084585872566	0.628659696495412	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
Gittings_2023	independent_C9_replication	C9orf72	frontal cortex	ALS_vs_FTD	Astrocyte	COX5B	log2FC	0.710131015805589	0.644393199926559	-0.552879656050467	1.97314168766165	0.274547792871323	0.769746951074378	whole-transcriptome FDR per contrast/cell type	37	results/Gittings_2023_C9_snRNA/predefined_17_gene_results.tsv	positive	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
GSE219280	discovery	C9orf72	BA4/BA9 model-averaged	ALS_vs_FTD	Astrocyte	COX7C	log2FC	-2.00807599035162	1.08095277905665	-4.12674343730266	0.110591456599419	0.077038848297661	0.63732906696842	global gene tests within model collection	16	results/GSE219280_pseudobulk_DE/all_gene_contrast_results.tsv	negative	FALSE	FALSE	displayable common log2FC scale, but cohort/model/region heterogeneity precludes an unqualified pooled estimate
