cell_type	contrast	set_id	set_label	full_NES	full_pval	full_comparison_FDR	full_global_primary_FDR	valid_iterations	total_donors	direction_concordant_n	direction_concordant_fraction	sign_flip_n	median_LOO_NES	minimum_LOO_NES	maximum_LOO_NES	global_FDR_lt_0_05_n	global_FDR_lt_0_05_same_direction_n	robustness_label	inference_note	model_test	primary_FDR_family	LOO_boundary
OPC	C9_ALS_vs_Ctrl_Frontal	axon_development	Axon development	-1.52683493174395	0.000326529466374291	0.000571426566155009	0.0008515376279957	37	37	37	1	0	-1.54967716941622	-1.78403724077289	-1.27418316673319	36	36	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Exc	C9_ALS_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	1.7405195441478	0.000605021467594596	0.00105878756829054	0.00154745875365541	37	37	37	1	0	1.74405403424684	0.399811360019683	2.34376286195461	30	30	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Micro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	small_GTPase	Small GTPase	-1.52223482615108	0.000637837870419675	0.00148828836431257	0.00157438738149665	37	37	37	1	0	-1.48746866176702	-1.61593425980392	-1.37820610786123	37	37	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Astro	C9_FTD_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	-1.69094747786513	0.000639224951885859	0.00223728733160051	0.00157438738149665	37	37	37	1	0	-1.63039328936115	-2.32015581483893	-1.1446440161966	33	33	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_ALS_vs_Ctrl_Frontal	axon_development	Axon development	-1.50583543783701	0.000670379430555587	0.000938531202777822	0.0016210993502526	37	37	37	1	0	-1.50551440118096	-1.81829547838244	-1.19073506650606	36	36	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
OPC	C9_ALS_vs_Ctrl_Frontal	protein_folding	Protein folding	1.58678808482771	0.00109644501767979	0.00153502302475171	0.0026040569169895	37	37	37	1	0	1.54859660645662	1.13527005829642	2.11221630733458	34	34	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Astro	C9_ALS_vs_Ctrl_Frontal	small_GTPase	Small GTPase	-1.37334706733224	0.00180543621297946	0.00631902674542812	0.00421268449695208	37	37	37	1	0	-1.37092553862726	-1.49710461863265	-0.972850862773207	35	35	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Astro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	synapse_junction	Synapse/junction	-1.40390393704989	0.00190473473307856	0.00444438104384997	0.00436775378447324	37	37	37	1	0	-1.39666192245607	-1.69397405619403	-1.10710000748131	33	33	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Exc	C9_FTD_vs_Ctrl_Frontal	mitochondrial_energy	Mitochondrial energy	-1.50793188385724	0.00418423900226953	0.00732241825397167	0.00943226758138724	37	37	37	1	0	-1.4467638876502	-2.00555347123641	-1.09092336285898	30	30	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Inh	C9_ALS_vs_Ctrl_Frontal	protein_stabilization	Protein stabilization	1.43262658058335	0.00469254346104795	0.00547463403788927	0.0103451558462202	37	37	37	1	0	1.42090269360447	1.05916009773278	1.71372896682761	33	33	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Micro	C9_ALS_vs_Ctrl_Frontal	protein_stabilization	Protein stabilization	1.39347702624046	0.0047447707264619	0.00830334877130832	0.0103451558462202	37	37	36	0.972972972972973	1	1.39347702624046	-0.917538389728282	1.66383309262813	31	31	full_global_significant_and_ge90pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Oligo	C9_FTD_vs_Ctrl_Frontal	heat_response	Heat response	1.58749927976372	0.00561771963499043	0.00983100936123326	0.0120509147008666	37	37	37	1	0	1.55491449981353	1.22450897601269	1.96676012180338	31	31	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Astro	C9_FTD_vs_Ctrl_Frontal	synapse_junction	Synapse/junction	1.30057196334766	0.00633941411459966	0.0116973922988585	0.013383207575266	37	37	37	1	0	1.28666125673133	1.02947706946724	1.68722945361504	25	25	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Micro	C9_ALS_vs_Ctrl_Frontal	heat_response	Heat response	1.54356779286755	0.0067265318776494	0.00941714462870917	0.0137635190727288	37	37	37	1	0	1.59223225185403	1.32067213850311	1.83556658895254	33	33	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Astro	C9_FTD_vs_Ctrl_Frontal	axon_development	Axon development	1.33345184573698	0.00668422417077628	0.0116973922988585	0.0137635190727288	37	37	37	1	0	1.32681687655392	1.06567109570148	1.66078518805599	26	26	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Oligo	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	mitochondrial_energy	Mitochondrial energy	1.39835386764301	0.00740198517661115	0.0518138962362781	0.014916121643777	37	37	37	1	0	1.38649759105203	0.722271975898923	2.59370181492	19	19	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
OPC	C9_FTD_vs_Ctrl_Frontal	small_GTPase	Small GTPase	1.29768643179756	0.00770729413662086	0.017983686318782	0.0152995540323966	37	37	37	1	0	1.3005369755771	1.07828751537454	1.55782296782251	28	28	full_global_significant_and_100pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
Micro	C9_ALS_vs_C9_FTD_Frontal_batch_bridged	heat_response	Heat response	1.43579118188843	0.022622924586434	0.0395901180262595	0.0442477789705254	37	37	36	0.972972972972973	1	1.44133249360903	-0.758775547011665	1.59657319659315	25	25	full_global_significant_and_ge90pct_direction_stable	LOO direction stability is the primary robustness metric; LOO significance retention is descriptive and not an independent replication	donor-blocked limma pseudobulk ranking plus FGSEA; one donor omitted per robustness refit	full_global_primary_FDR: BH across frozen primary Gittings axes	internal direction-stability stress test; valid_iterations gives successful refits and may be 36 or 37
